127.0.0.1, 2015-03-04 15:12:25, GET, /admin/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-03-04 15:12:25, GET, /admin/static/_2.9.12/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:27, POST, /admin/default/index, HTTP/1.1, 303, 0.043000
127.0.0.1, 2015-03-04 15:12:27, GET, /admin/default/site, HTTP/1.1, 200, 0.069000
127.0.0.1, 2015-03-04 15:12:27, GET, /admin/static/_2.9.12/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:12:27, GET, /admin/static/_2.9.12/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:27, GET, /admin/static/_2.9.12/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:12:27, POST, /admin/default/check_version, HTTP/1.1, 200, 0.459000
127.0.0.1, 2015-03-04 15:16:01, GET, /todo/static/index.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 15:16:11, GET, /todo/static/index.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:16:11, GET, /todo/static/main.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:16:11, GET, /todo/static/app.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-03-04 15:16:11, GET, /todo/static/pages/header/header.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:16:11, GET, /todo/static/pages/main/main-controller.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:16:12, GET, /todo/static/pages/header/header.html, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:16:12, GET, /todo/static/pages/main/main.html, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-03-04 15:16:12, GET, /todo, HTTP/1.1, 404, 0.109000
127.0.0.1, 2015-03-04 15:18:27, GET, /todo/static/index.html, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:18:27, GET, /todo/static/main.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:18:27, GET, /todo/static/app.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:18:27, GET, /todo/static/pages/header/header.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:18:27, GET, /todo/static/pages/main/main-controller.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:18:30, GET, /todo/static/pages/header/header.html, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:18:30, GET, /todo/static/pages/main/main.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:18:30, GET, /todo, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-03-04 15:19:09, GET, /todo/static/index.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:19:09, GET, /todo/static/main.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:19:09, GET, /todo/static/app.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:19:09, GET, /todo/static/pages/header/header.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:19:09, GET, /todo/static/pages/main/main-controller.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:19:11, GET, /todo/static/pages/header/header.html, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:19:11, GET, /todo/static/pages/main/main.html, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:19:11, GET, /todo, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-03-04 15:22:47, GET, /todo/static/index.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:22:47, GET, /todo/static/main.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:22:47, GET, /todo/static/app.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:22:47, GET, /todo/static/pages/main/main-controller.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:22:47, GET, /todo/static/pages/header/header.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:22:49, GET, /todo/static/pages/header/header.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:22:49, GET, /todo/static/pages/main/main.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 15:22:49, GET, /todo, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-03-04 15:23:01, GET, /admin/default/design/todo, HTTP/1.1, 200, 0.117000
127.0.0.1, 2015-03-04 15:23:01, GET, /admin/static/_2.9.12/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:23:01, GET, /admin/static/_2.9.12/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 15:23:01, GET, /admin/static/_2.9.12/images/test_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:23:01, GET, /admin/static/_2.9.12/images/delete_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-03-04 15:23:04, GET, /todo/appadmin/index, HTTP/1.1, 404, 0.035000
127.0.0.1, 2015-03-04 15:23:33, GET, /todo/appadmin/index, HTTP/1.1, 500, 0.116000
127.0.0.1, 2015-03-04 15:23:47, GET, /admin/default/ticket/todo/127.0.0.1.2015-03-04.15-23-33.3baa1b11-7787-4656-afa3-3c0f93f747ab, HTTP/1.1, 200, 0.099000
127.0.0.1, 2015-03-04 15:24:16, GET, /todo/appadmin/index, HTTP/1.1, 500, 0.045000
127.0.0.1, 2015-03-04 15:24:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-03-04 15:24:17, GET, /admin/default/ticket/todo/127.0.0.1.2015-03-04.15-24-16.8518e414-8427-49d9-b3dc-0717ef5a2bf8, HTTP/1.1, 200, 0.117000
127.0.0.1, 2015-03-04 15:24:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/appadmin/index, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.003000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/css/calendar.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/js/calendar.js, HTTP/1.1, 404, 0.003000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/js/web2py.js, HTTP/1.1, 404, 0.003000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/css/web2py.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/css/bootstrap.min.css, HTTP/1.1, 404, 0.003000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/css/bootstrap-responsive.min.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/css/web2py_bootstrap.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/js/bootstrap.min.js, HTTP/1.1, 404, 0.005000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/js/web2py_bootstrap.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/js/share.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2015-03-04 15:24:33, GET, /todo/static/images/favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/appadmin/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/static/js/jquery.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/static/js/web2py.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/static/css/web2py.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/static/css/calendar.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-03-04 15:25:04, GET, /todo/static/js/calendar.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2015-03-04 15:25:05, GET, /todo/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.025000
